steps,heart_beat
0,74.9304335895
1,90.625
2,85.0
3,83.75
4,84.0877192982
5,84.972972973
6,82.4366197183
7,86.1182795699
8,85.1081081081
9,83.3068181818
10,85.7118644068
11,85.6585365854
12,84.4047619048
13,86.6857142857
14,84.3095238095
15,88.1034482759
16,89.4
17,85.5789473684
18,89.85
19,87.0
20,90.5263157895
21,89.1
22,88.05
23,90.1666666667
24,87.0526315789
25,92.6666666667
26,87.8461538462
27,90.3333333333
28,88.6470588235
29,96.7777777778
30,92.6363636364
31,95.4666666667
32,93.3846153846
33,93.0555555556
34,96.8
35,93.2222222222
36,93.3333333333
37,93.0909090909
38,101.666666667
39,93.6666666667
40,94.125
41,93.7
42,96.5454545455
43,92.5
44,97.0
45,98.0833333333
46,91.5714285714
47,92.1428571429
48,96.2857142857
49,100.125
50,98.8333333333
51,94.8
52,93.4166666667
53,99.0
54,89.1818181818
55,97.6428571429
56,94.9230769231
57,99.4444444444
58,93.8
59,95.6363636364
60,92.0
61,94.0
62,92.8571428571
63,93.1428571429
64,97.3
65,94.0
66,100.833333333
67,101.181818182
68,92.6666666667
69,97.5714285714
70,103.5
71,96.0
72,99.1428571429
73,94.4
74,95.1666666667
75,96.3
76,98.4444444444
77,99.7692307692
78,103.5
79,100.142857143
80,97.6666666667
81,103.090909091
82,99.2307692308
83,101.857142857
84,105.444444444
85,103.909090909
86,98.2222222222
87,94.3333333333
88,98.1904761905
89,97.4615384615
90,100.454545455
91,104.411764706
92,101.294117647
93,102.769230769
94,97.7
95,106.333333333
96,104.4375
97,102.428571429
98,100.652173913
99,107.625
100,103.80952381
101,103.157894737
102,103.714285714
103,107.533333333
104,103.161290323
105,105.944444444
106,103.0
107,106.807692308
108,104.6
109,102.684210526
110,106.130434783
111,104.037037037
112,106.777777778
113,104.933333333
114,107.526315789
115,107.142857143
116,111.0
117,115.294117647
118,114.0
119,110.571428571
120,118.352941176
121,121.857142857
122,113.125
123,134.0
124,154.5
125,118.2
126,129.6
127,123.666666667
128,138.0
129,133.0
130,137.142857143
131,147.0
132,135.0
133,141.333333333
134,144.2
135,136.5
136,137.714285714
137,139.8
138,137.666666667
139,140.0
141,153.0
143,154.0
144,150.0
145,148.0
146,169.0
147,152.0
149,153.0
152,152.0
153,137.0
154,137.0
155,160.0
159,160.0
