,time,value,date
0,00:00:00,14,2016-04-24
1,00:15:00,0,2016-04-24
2,00:30:00,0,2016-04-24
3,00:45:00,0,2016-04-24
4,01:00:00,0,2016-04-24
5,01:15:00,17,2016-04-24
6,01:30:00,0,2016-04-24
7,01:45:00,0,2016-04-24
8,02:00:00,0,2016-04-24
9,02:15:00,12,2016-04-24
10,02:30:00,29,2016-04-24
11,02:45:00,8,2016-04-24
12,03:00:00,0,2016-04-24
13,03:15:00,0,2016-04-24
14,03:30:00,0,2016-04-24
15,03:45:00,0,2016-04-24
16,04:00:00,0,2016-04-24
17,04:15:00,9,2016-04-24
18,04:30:00,35,2016-04-24
19,04:45:00,9,2016-04-24
20,05:00:00,0,2016-04-24
21,05:15:00,0,2016-04-24
22,05:30:00,10,2016-04-24
23,05:45:00,0,2016-04-24
24,06:00:00,0,2016-04-24
25,06:15:00,0,2016-04-24
26,06:30:00,0,2016-04-24
27,06:45:00,0,2016-04-24
28,07:00:00,0,2016-04-24
29,07:15:00,0,2016-04-24
30,07:30:00,0,2016-04-24
31,07:45:00,0,2016-04-24
32,08:00:00,6,2016-04-24
33,08:15:00,0,2016-04-24
34,08:30:00,0,2016-04-24
35,08:45:00,0,2016-04-24
36,09:00:00,0,2016-04-24
37,09:15:00,0,2016-04-24
38,09:30:00,18,2016-04-24
39,09:45:00,0,2016-04-24
40,10:00:00,0,2016-04-24
41,10:15:00,0,2016-04-24
42,10:30:00,732,2016-04-24
43,10:45:00,1396,2016-04-24
44,11:00:00,1391,2016-04-24
45,11:15:00,0,2016-04-24
46,11:30:00,49,2016-04-24
47,11:45:00,49,2016-04-24
48,12:00:00,0,2016-04-24
49,12:15:00,208,2016-04-24
50,12:30:00,0,2016-04-24
51,12:45:00,36,2016-04-24
52,13:00:00,24,2016-04-24
53,13:15:00,0,2016-04-24
54,13:30:00,0,2016-04-24
55,13:45:00,0,2016-04-24
56,14:00:00,0,2016-04-24
57,14:15:00,14,2016-04-24
58,14:30:00,1285,2016-04-24
59,14:45:00,1398,2016-04-24
60,15:00:00,1380,2016-04-24
61,15:15:00,1620,2016-04-24
62,15:30:00,763,2016-04-24
63,15:45:00,18,2016-04-24
64,16:00:00,0,2016-04-24
65,16:15:00,11,2016-04-24
66,16:30:00,0,2016-04-24
67,16:45:00,31,2016-04-24
68,17:00:00,0,2016-04-24
69,17:15:00,0,2016-04-24
70,17:30:00,0,2016-04-24
71,17:45:00,0,2016-04-24
72,18:00:00,0,2016-04-24
73,18:15:00,6,2016-04-24
74,18:30:00,17,2016-04-24
75,18:45:00,39,2016-04-24
76,19:00:00,10,2016-04-24
77,19:15:00,9,2016-04-24
78,19:30:00,0,2016-04-24
79,19:45:00,0,2016-04-24
80,20:00:00,1131,2016-04-24
81,20:15:00,1092,2016-04-24
82,20:30:00,37,2016-04-24
83,20:45:00,23,2016-04-24
84,21:00:00,1732,2016-04-24
85,21:15:00,644,2016-04-24
86,21:30:00,38,2016-04-24
87,21:45:00,47,2016-04-24
88,22:00:00,41,2016-04-24
89,22:15:00,20,2016-04-24
90,22:30:00,0,2016-04-24
91,22:45:00,11,2016-04-24
92,23:00:00,6,2016-04-24
93,23:15:00,28,2016-04-24
94,23:30:00,0,2016-04-24
95,23:45:00,0,2016-04-24
