steps,status,heart_beat
0,0,80.115497076
0,1,59.1536585366
0,2,61.03125
1,0,83.0
3,0,89.0
4,0,92.0
5,0,96.0
6,0,88.3333333333
6,1,72.0
7,0,89.4285714286
8,0,83.9444444444
9,0,87.1666666667
9,1,78.5
10,0,73.3333333333
11,0,88.0909090909
12,0,84.0
13,0,92.5
14,0,92.8
15,0,91.0
16,0,89.0
17,0,88.5
17,1,88.0
18,0,99.5
20,0,95.0
21,0,85.5
22,0,96.0
23,0,71.0
24,0,95.0
25,0,92.0
27,0,94.6666666667
28,0,97.0
29,0,99.6666666667
30,0,93.0
31,0,100.0
32,0,83.0
33,0,103.0
34,0,82.0
35,0,96.6666666667
36,0,99.0
37,0,93.5
38,0,100.666666667
39,0,106.0
41,0,100.6
42,0,96.5
43,0,89.5
45,0,88.0
46,0,92.6666666667
47,0,100.666666667
49,0,121.0
50,0,93.5
51,0,101.0
52,0,103.0
53,0,109.333333333
56,0,107.5
57,0,105.0
60,0,100.0
63,0,104.0
64,0,104.0
66,0,106.0
67,0,110.0
68,0,109.0
70,0,113.5
71,0,122.0
72,0,109.333333333
73,0,113.666666667
74,0,109.5
75,0,107.0
76,0,111.25
77,0,98.0
78,0,100.0
80,0,117.5
81,0,102.0
82,0,102.0
84,0,100.0
86,0,117.0
87,0,114.0
88,0,113.0
90,0,101.0
91,0,112.666666667
92,0,112.0
93,0,132.0
94,0,109.333333333
96,0,105.0
97,0,112.0
98,0,103.0
99,0,110.0
101,0,138.666666667
102,0,106.2
103,0,108.5
108,0,125.0
111,0,110.0
112,0,110.0
113,0,110.0
114,0,119.0
115,0,101.0
116,0,114.0
117,0,128.0
118,0,114.666666667
120,0,137.0
132,0,125.0
